Team: Niriksh-991

Image_name, Predicted_Class
408.png, OTHERS
409.png, CMP
410.png, PARTICLE
412.png, CMP
415.png, CMP
416.png, CRACK
417.png, LER
418.png, PARTICLE
419.png, LER
420.png, CRACK
422.png, LER
423.png, VIA
424.png, OTHERS
425.png, OTHERS
426.png, CRACK
427.png, OTHERS
428.png, VIA
430.png, LER
431.png, BRIDGE
432.png, PARTICLE
433.png, CRACK
434.png, CLEAN_CRACK
435.png, CMP
436.png, VIA
438.png, CMP
439.png, CLEAN_VIA
440.png, VIA
441.png, PARTICLE
442.png, CMP
443.png, BRIDGE
444.png, CMP
445.png, LER
446.png, LER
447.png, VIA
448.png, CRACK
449.png, CLEAN_LAYER
450.png, CRACK
452.png, OPEN
454.png, OTHERS
455.png, VIA
456.png, OPEN
457.png, OTHERS
458.png, LER
459.png, CLEAN_LAYER
460.png, LER
461.png, CLEAN_LAYER
462.png, LER
463.png, CLEAN_LAYER
464.png, CRACK
465.png, CRACK
466.png, LER
467.png, VIA
468.png, CLEAN_VIA
469.png, CMP
470.png, OTHERS
471.png, CRACK
472.png, CMP
473.png, LER
475.png, CRACK
476.png, BRIDGE
477.png, CLEAN_LAYER
479.png, CLEAN_LAYER
480.png, CLEAN_LAYER
481.png, LER
483.png, OTHERS
485.png, OTHERS
487.png, PARTICLE
488.png, CRACK
489.png, CLEAN_LAYER
490.png, CLEAN_LAYER
491.png, VIA
492.png, CMP
493.png, CRACK
494.png, CMP
495.png, CMP
496.png, CMP
497.png, BRIDGE
498.png, OTHERS
500.png, CLEAN_VIA

